Asset Class,Apr. 2020,May. 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,Cum. Ret.
5% BTC,9.74%,3.32%,1.27%,4.85%,3.82%,-2.66%,-0.27%,8.90%,5.21%,0.05%,2.64%,3.92%,3.06%,52.91%
1% BTC,8.86%,3.22%,1.54%,4.13%,4.00%,-2.44%,-1.55%,7.13%,2.94%,-0.71%,1.36%,2.51%,3.46%,39.67%
60/40,8.59%,3.19%,1.58%,3.96%,4.04%,-2.39%,-1.76%,6.89%,2.42%,-0.89%,1.07%,2.17%,3.52%,36.90%
Agg,1.78%,0.47%,0.63%,1.49%,-0.81%,-0.05%,-0.45%,0.98%,0.14%,-0.72%,-1.44%,-1.25%,0.79%,1.51%
BTC,36.18%,6.68%,-2.86%,24.04%,2.93%,-8.32%,27.39%,42.08%,49.63%,19.47%,31.84%,29.09%,-3.64%,776.58%
Comm.,-1.54%,4.34%,2.28%,5.71%,6.76%,-3.35%,1.41%,3.51%,4.97%,2.63%,6.47%,-2.15%,8.29%,46.23%
EAFE,6.46%,4.35%,3.40%,2.33%,5.14%,-2.60%,-3.99%,15.50%,4.65%,-1.07%,2.24%,2.30%,3.01%,48.92%
EEM,9.16%,0.77%,7.35%,8.94%,2.21%,-1.60%,2.06%,9.25%,7.35%,3.07%,0.76%,-1.51%,2.49%,62.33%
HFRX,2.88%,1.44%,1.75%,1.35%,1.54%,-0.17%,-0.21%,2.82%,2.45%,-0.17%,1.52%,-0.14%,1.84%,18.20%
RealEst.,9.08%,1.92%,2.46%,4.19%,0.24%,-2.27%,-2.93%,8.24%,2.53%,-0.28%,2.21%,5.67%,8.06%,45.77%
S&P 500,12.82%,4.76%,1.99%,5.64%,7.19%,-3.80%,-2.66%,10.95%,3.84%,-1.01%,2.76%,4.38%,5.34%,64.70%
