Asset Class,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 YTD,Ann. Ret.
5% BTC,34.03%,18.58%,60.30%,6.60%,3.81%,13.25%,36.02%,-7.02%,27.20%,25.09%,9.98%,20.82%
1% BTC,14.19%,12.79%,31.39%,9.80%,1.74%,9.19%,18.74%,-2.88%,23.33%,17.12%,6.74%,13.40%
60/40,5.06%,11.33%,17.68%,10.56%,1.23%,8.20%,14.23%,-1.87%,22.15%,15.51%,5.94%,10.45%
Agg,7.84%,4.22%,-2.02%,5.97%,0.55%,2.65%,3.54%,0.01%,8.72%,7.51%,-2.61%,3.45%
BTC,1316.67%,217.88%,5428.42%,-57.51%,36.16%,120.32%,1403.23%,-74.33%,94.83%,305.07%,95.94%,223.99%
Comm.,-13.32%,-1.06%,-9.52%,-17.01%,-24.66%,11.77%,1.70%,-11.25%,7.69%,-3.12%,15.78%,-4.96%
EAFE,-12.14%,17.32%,22.78%,-4.90%,-0.81%,1.00%,25.03%,-13.79%,22.01%,7.82%,6.59%,5.98%
EEM,-18.42%,18.22%,-2.60%,-2.19%,-14.92%,11.19%,37.28%,-14.57%,18.42%,18.31%,4.83%,3.98%
HFRX,-8.87%,3.51%,6.72%,-0.58%,-3.64%,2.50%,5.99%,-6.72%,8.62%,6.81%,3.07%,1.52%
RealEst.,6.05%,18.93%,1.77%,27.24%,2.14%,7.56%,9.84%,-4.03%,28.92%,-5.29%,16.38%,10.04%
S&P 500,2.11%,16.00%,32.39%,13.69%,1.38%,11.96%,21.83%,-4.38%,31.49%,18.40%,11.84%,14.64%
